Name	|Start Address	|End Address	|Description		|Size		|Access					
--------|---------------|---------------|-------------------|-----------|-------------------
--------|---------------|---------------|-------------------|-----------|-------------------
ROM0	|0x0000_0000	|0x00FF_FFFF	|Instruction ROM	|16 MiByte	|R/I
--------|---------------|---------------|-------------------|-----------|-------------------
RAM0	|0x0100_0000	|0x01FF_FFFF	|Instruction RAM	|16 MiByte	|R/W/I
--------|---------------|---------------|-------------------|-----------|-------------------
ROM1	|0x0200_0000	|0x02FF_FFFF	|Data ROM			|16 MiByte	|R
--------|---------------|---------------|-------------------|-----------|-------------------
RAM1	|0x0300_0000	|0x4FFF_FFFF	|Data  RAM			|1.2 GiByte	|R/W
--------|---------------|---------------|-------------------|-----------|-------------------
RAM2	|0x5000_0000	|0x5000_00FF	|e.g. for GPIO		|256 Byte	|R/W
--------|---------------|---------------|-------------------|-----------|-------------------
RAM3	|0x5000_0100	|0x5000_01FF	|e.g. for UART		|256 Byte	|R/W
--------|---------------|---------------|-------------------|-----------|-------------------
RAM4	|0x5000_0200	|0x5000_02FF	|e.g. for SPI		|256 Byte	|R/W
--------|---------------|---------------|-------------------|-----------|-------------------
Region0	|0x5000_0300	|0x5000_03FF	|reserved			|256 Byte	|no (R/W/I)
--------|---------------|---------------|-------------------|-----------|-------------------
Region1	|0x5000_0400	|0x5000_0403	|NA4 test			|4 Byte		|R/W
--------|---------------|---------------|-------------------|-----------|-------------------
Region2	|0x5000_0400	|0xFFFF_FFFE	|full access M-mode	|			|R/W/I
--------|---------------|---------------|-------------------|-----------|-------------------


index/lable	|PMPADDR										|L	|A			|X	|W	|R
------------|-----------------------------------------------|---|-----------|---|---|-----
------------|-----------------------------------------------|---|-----------|---|---|-----
0/ROM0		|00_0000_0000_1111_1111_1111_1111_1111_11(11)	|1	|TOR		|1	|0	|1
------------|-----------------------------------------------|---|-----------|---|---|-----
1/RAM0		|00_0000_0001_0111_1111_1111_1111_1111_11(11)	|1	|2^24-NAPOT	|1	|1	|1
------------|-----------------------------------------------|---|-----------|---|---|-----
2/ROM1		|00_0000_0010_0111_1111_1111_1111_1111_11(11)	|1	|2^24-NAPOT	|0	|0	|1
------------|-----------------------------------------------|---|-----------|---|---|-----
3/RAM1_L	|00_0000_0011_0000_0000_0000_0000_0000_00(00)	|1	|OFF		|0	|0	|0
------------|-----------------------------------------------|---|-----------|---|---|-----
4/RAM1		|00_0101_0000_0000_0000_0000_0000_0000_00(00)	|1	|TOR		|0	|1	|1
------------|-----------------------------------------------|---|-----------|---|---|-----
5/RAM2		|00_0101_0000_0000_0000_0000_0000_0111_11(11)	|1	|2^8-NAPOT	|0	|1	|1
------------|-----------------------------------------------|---|-----------|---|---|-----
6/RAM3		|00_0101_0000_0000_0000_0000_0001_0111_11(11)	|1	|2^8-NAPOT	|0	|1	|1
------------|-----------------------------------------------|---|-----------|---|---|-----
7/RAM4		|00_0101_0000_0000_0000_0000_0010_0111_11(11)	|1	|2^8-NAPOT	|0	|1	|1
------------|-----------------------------------------------|---|-----------|---|---|-----
8/Region0	|00_0101_0000_0000_0000_0000_0011_0111_11(11)	|1	|2^8-NAPOT	|0	|0	|0
------------|-----------------------------------------------|---|-----------|---|---|-----
9/Region1	|00_0101_0000_0000_0000_0000_0100_0000_00(00)	|1	|NA4		|1	|0	|1
------------|-----------------------------------------------|---|-----------|---|---|-----
10/Region2_L|00_0101_0000_0000_0000_0000_0100_0000_00(00)	|1	|OFF		|0	|0	|0
------------|-----------------------------------------------|---|-----------|---|---|-----
11/Region2	|11_1111_1111_1111_1111_1111_1111_1111_11(11)	|1	|TOR		|1	|0	|1
------------|-----------------------------------------------|---|-----------|---|---|-----
12/ROM1		|00_0000_0010_0111_1111_1111_1111_1111_11(11)	|1	|2^24-NAPOT	|1	|1	|1
------------|-----------------------------------------------|---|-----------|---|---|-----
13/ROM0		|00_0000_0001_0111_1111_1111_1111_1111_11(11)	|1	|OFF		|1	|0	|1
------------|-----------------------------------------------|---|-----------|---|---|-----
14/ROM0		|00_0000_0000_1111_1111_1111_1111_1111_11(11)	|1	|OFF		|1	|0	|1
------------|-----------------------------------------------|---|-----------|---|---|-----
15/ROM0		|00_0000_0000_1111_1111_1111_1111_1111_11(11)	|1	|OFF		|1	|0	|1
------------|-----------------------------------------------|---|-----------|---|---|-----
